tag,orig_loc,dest_loc,take_car,take_transit,take_ondemand,take_walk,mass,leave_time_start,leave_time_end,arrival_time_start,arrival_time_end
person0,[-85.28898389  35.01204326],[-85.30517061  35.04401439],1.0,1.0,1.0,1.0,60,66799.0,68599.0,71874.0,73674.0
person1,[-85.28712268  34.99047073],[-85.31312289  35.04505299],1.0,1.0,1.0,1.0,60,76502.0,78302.0,82626.0,84426.0
person2,[-85.28905589  34.99851322],[-85.31445804  35.04941343],1.0,1.0,1.0,1.0,60,50850.0,52650.0,55387.0,57187.0
person3,[-85.28970675  35.01504354],[-85.30609941  35.04977705],1.0,1.0,1.0,1.0,60,84224.0,86024.0,88008.0,89808.0
person4,[-85.28495408  35.0122978 ],[-85.31264779  35.0519624 ],1.0,1.0,1.0,1.0,60,79597.0,81397.0,85377.0,87177.0
person5,[-85.28943612  35.01178512],[-85.30419112  35.04158019],1.0,1.0,1.0,1.0,60,60724.0,62524.0,65312.0,67112.0
person6,[-85.28191926  35.00185373],[-85.30450206  35.04964818],1.0,1.0,1.0,1.0,60,80817.0,82617.0,87146.0,88946.0
person7,[-85.28191926  35.00185373],[-85.30450206  35.04964818],0.0,1.0,1.0,1.0,60,78448.0,80248.0,85564.0,87364.0
person8,[-85.28408655  35.00787918],[-85.30587903  35.04795954],1.0,1.0,1.0,1.0,60,81454.0,83254.0,85592.0,87392.0
person9,[-85.28408655  35.00787918],[-85.30587903  35.04795954],0.0,1.0,1.0,1.0,60,82254.0,84054.0,87106.0,88906.0
person10,[-85.28357702  35.0082812 ],[-85.31427337  35.04971247],1.0,1.0,1.0,1.0,60,65311.0,67111.0,71596.0,73396.0
person11,[-85.28357702  35.0082812 ],[-85.31427337  35.04971247],0.0,1.0,1.0,1.0,60,80223.0,82023.0,85717.0,87517.0
person12,[-85.2947208   35.01648889],[-85.31121145  35.04048928],1.0,1.0,1.0,1.0,60,61991.0,63791.0,68941.0,70741.0
person13,[-85.28074532  35.01046577],[-85.30467725  35.04048383],1.0,1.0,1.0,1.0,60,57188.0,58988.0,62423.0,64223.0
person14,[-85.28074532  35.01046577],[-85.30467725  35.04048383],0.0,1.0,1.0,1.0,60,80169.0,81969.0,83929.0,85729.0
person15,[-85.28814756  34.9925411 ],[-85.31276366  35.04147903],1.0,1.0,1.0,1.0,60,80944.0,82744.0,84945.0,86745.0
person16,[-85.28409711  35.00677065],[-85.30428976  35.03994199],1.0,1.0,1.0,1.0,60,34221.0,36021.0,38657.0,40457.0
person17,[-85.28409711  35.00677065],[-85.30428976  35.03994199],0.0,1.0,1.0,1.0,60,25368.0,27168.0,31480.0,33280.0
person18,[-85.28505092  35.02356252],[-85.31065895  35.0420238 ],1.0,1.0,1.0,1.0,60,82210.0,84010.0,86285.0,88085.0
person19,[-85.28933437  35.02035077],[-85.30548609  35.04651126],1.0,1.0,1.0,1.0,60,38541.0,40341.0,44355.0,46155.0
person20,[-85.28210723  35.01417585],[-85.31315893  35.04986651],1.0,1.0,1.0,1.0,60,83440.0,85240.0,87606.0,89406.0
person21,[-85.28316818  35.0090561 ],[-85.30085058  35.04678941],1.0,1.0,1.0,1.0,60,84321.0,86121.0,87925.0,89725.0
person22,[-85.28316818  35.0090561 ],[-85.30085058  35.04678941],0.0,1.0,1.0,1.0,60,73905.0,75705.0,80714.0,82514.0
person23,[-85.29363203  34.99735148],[-85.30073946  35.04769831],1.0,1.0,1.0,1.0,60,75794.0,77594.0,82638.0,84438.0
person24,[-85.29530937  35.02091043],[-85.30910069  35.05214408],1.0,1.0,1.0,1.0,60,83580.0,85380.0,88068.0,89868.0
person25,[-85.2943811   35.00529797],[-85.31431918  35.05163003],1.0,1.0,1.0,1.0,60,69631.0,71431.0,75159.0,76959.0
person26,[-85.28860994  35.00198058],[-85.30129532  35.04477734],1.0,1.0,1.0,1.0,60,82695.0,84495.0,88070.0,89870.0
person27,[-85.28388365  35.01395278],[-85.30007045  35.04539611],1.0,1.0,1.0,1.0,60,78207.0,80007.0,82264.0,84064.0
person28,[-85.28658384  34.99595578],[-85.31321325  35.04952076],1.0,1.0,1.0,1.0,60,82429.0,84229.0,86742.0,88542.0
person29,[-85.29104123  35.0211874 ],[-85.31123542  35.03905618],1.0,1.0,1.0,1.0,60,30155.0,31955.0,36439.0,38239.0
person30,[-85.29339164  35.00417406],[-85.31486454  35.04002926],1.0,1.0,1.0,1.0,60,67984.0,69784.0,73736.0,75536.0
person31,[-85.28415634  35.00473894],[-85.30378381  35.05211523],1.0,1.0,1.0,1.0,60,28506.0,30306.0,33911.0,35711.0
person32,[-85.28415634  35.00473894],[-85.30378381  35.05211523],0.0,1.0,1.0,1.0,60,50707.0,52507.0,57645.0,59445.0
person33,[-85.29021542  35.00394186],[-85.31092338  35.05360598],1.0,1.0,1.0,1.0,60,50787.0,52587.0,55429.0,57229.0
person34,[-85.28701622  35.02504381],[-85.30475512  35.04893529],1.0,1.0,1.0,1.0,60,23193.0,24993.0,29665.0,31465.0
person35,[-85.28584208  34.99091311],[-85.30707225  35.04820571],1.0,1.0,1.0,1.0,60,29378.0,31178.0,33052.0,34852.0
person36,[-85.28895207  34.99578915],[-85.31063424  35.04177155],1.0,1.0,1.0,1.0,60,46124.0,47924.0,50065.0,51865.0
person37,[-85.28897003  35.02067912],[-85.30928506  35.04539108],1.0,1.0,1.0,1.0,60,75890.0,77690.0,80800.0,82600.0
person38,[-85.29186059  35.00278149],[-85.31040971  35.04586972],1.0,1.0,1.0,1.0,60,44568.0,46368.0,48897.0,50697.0
person39,[-85.29138743  35.00138933],[-85.31258002  35.04360409],1.0,1.0,1.0,1.0,60,48691.0,50491.0,53553.0,55353.0
person40,[-85.29090322  35.00898787],[-85.30482396  35.04754213],1.0,1.0,1.0,1.0,60,57317.0,59117.0,62656.0,64456.0
person41,[-85.28883643  35.0093787 ],[-85.30847084  35.04364953],1.0,1.0,1.0,1.0,60,65381.0,67181.0,72210.0,74010.0
person42,[-85.28930104  35.00000172],[-85.31136649  35.04268121],1.0,1.0,1.0,1.0,60,39952.0,41752.0,46941.0,48741.0
person43,[-85.28551129  35.00314217],[-85.30573806  35.04267991],1.0,1.0,1.0,1.0,60,83762.0,85562.0,87554.0,89354.0
person44,[-85.29187658  35.01170197],[-85.30766862  35.0513579 ],1.0,1.0,1.0,1.0,60,64180.0,65980.0,69921.0,71721.0
person45,[-85.28643974  35.01565348],[-85.31048789  35.04193832],1.0,1.0,1.0,1.0,60,83692.0,85492.0,88004.0,89804.0
person46,[-85.28431467  35.01919588],[-85.31765656  35.04597206],1.0,1.0,1.0,1.0,60,76297.0,78097.0,80112.0,81912.0
person47,[-85.28507914  34.99291947],[-85.30561902  35.03611875],1.0,1.0,1.0,1.0,60,84154.0,85954.0,88140.0,89940.0
person48,[-85.28277644  35.01237376],[-85.30206453  35.04362258],1.0,1.0,1.0,1.0,60,77339.0,79139.0,81177.0,82977.0
person49,[-85.28853256  35.01452307],[-85.31548088  35.04761406],1.0,1.0,1.0,1.0,60,41807.0,43607.0,45578.0,47378.0
person50,[-85.28487815  34.98955907],[-85.30581314  35.04137443],1.0,1.0,1.0,1.0,60,79039.0,80839.0,82822.0,84622.0
person51,[-85.28540517  35.00348925],[-85.29932746  35.04940568],1.0,1.0,1.0,1.0,60,68773.0,70573.0,75412.0,77212.0
person52,[-85.29756988  35.0088748 ],[-85.30704078  35.0391139 ],1.0,1.0,1.0,1.0,60,64843.0,66643.0,71866.0,73666.0
person53,[-85.28936956  35.00150125],[-85.31231387  35.04120572],1.0,1.0,1.0,1.0,60,76213.0,78013.0,79967.0,81767.0
person54,[-85.27717309  34.99718465],[-85.31083504  35.04618154],1.0,1.0,1.0,1.0,60,81890.0,83690.0,86849.0,88649.0
person55,[-85.27717309  34.99718465],[-85.31083504  35.04618154],0.0,1.0,1.0,1.0,60,64663.0,66463.0,68518.0,70318.0
person56,[-85.28807416  35.01064656],[-85.30624213  35.04293472],1.0,1.0,1.0,1.0,60,73064.0,74864.0,79057.0,80857.0
person57,[-85.28819223  35.00206344],[-85.30716405  35.05516607],1.0,1.0,1.0,1.0,60,77897.0,79697.0,83229.0,85029.0
person58,[-85.28860427  35.01379603],[-85.31189107  35.04727543],1.0,1.0,1.0,1.0,60,16132.0,17932.0,20072.0,21872.0
person59,[-85.28263618  34.99922434],[-85.31586532  35.04971945],1.0,1.0,1.0,1.0,60,71856.0,73656.0,76824.0,78624.0
person60,[-85.28263618  34.99922434],[-85.31586532  35.04971945],0.0,1.0,1.0,1.0,60,67623.0,69423.0,71547.0,73347.0
person61,[-85.29278062  34.98971405],[-85.31551833  35.03930691],1.0,1.0,1.0,1.0,60,41384.0,43184.0,46769.0,48569.0
person62,[-85.28944315  35.01023036],[-85.30476021  35.03756554],1.0,1.0,1.0,1.0,60,80223.0,82023.0,87327.0,89127.0
person63,[-85.28094598  35.01332033],[-85.30906215  35.04511959],1.0,1.0,1.0,1.0,60,28423.0,30223.0,34952.0,36752.0
person64,[-85.28819462  35.00535274],[-85.30616792  35.04866699],1.0,1.0,1.0,1.0,60,16406.0,18206.0,21039.0,22839.0
person65,[-85.28792586  35.00761154],[-85.30848057  35.03806464],1.0,1.0,1.0,1.0,60,79016.0,80816.0,83691.0,85491.0
person66,[-85.29015192  35.00176952],[-85.30312231  35.03702468],1.0,1.0,1.0,1.0,60,75563.0,77363.0,81647.0,83447.0
person67,[-85.2931272   35.01601674],[-85.30474189  35.04437385],1.0,1.0,1.0,1.0,60,83967.0,85767.0,88195.0,89995.0
person68,[-85.28184161  35.00386667],[-85.31089108  35.0454839 ],1.0,1.0,1.0,1.0,60,81405.0,83205.0,87303.0,89103.0
person69,[-85.28184161  35.00386667],[-85.31089108  35.0454839 ],0.0,1.0,1.0,1.0,60,79690.0,81490.0,86034.0,87834.0
person70,[-85.28453053  35.00368544],[-85.31324492  35.04374945],1.0,1.0,1.0,1.0,60,69343.0,71143.0,73466.0,75266.0
person71,[-85.28453053  35.00368544],[-85.31324492  35.04374945],0.0,1.0,1.0,1.0,60,81638.0,83438.0,87820.0,89620.0
person72,[-85.28434518  35.01529409],[-85.30913066  35.04703222],1.0,1.0,1.0,1.0,60,72994.0,74794.0,79627.0,81427.0
person73,[-85.28769989  35.02024719],[-85.31182053  35.04755021],1.0,1.0,1.0,1.0,60,80616.0,82416.0,85702.0,87502.0
person74,[-85.29025967  34.99783314],[-85.31047681  35.04376917],1.0,1.0,1.0,1.0,60,32184.0,33984.0,37070.0,38870.0
person75,[-85.27993465  35.01358936],[-85.31260764  35.04248761],1.0,1.0,1.0,1.0,60,32211.0,34011.0,37150.0,38950.0
person76,[-85.29366933  35.01798346],[-85.30843265  35.05126605],1.0,1.0,1.0,1.0,60,79474.0,81274.0,84385.0,86185.0
person77,[-85.28558676  35.00891803],[-85.30866772  35.0470577 ],1.0,1.0,1.0,1.0,60,53794.0,55594.0,57829.0,59629.0
person78,[-85.28987038  35.00257384],[-85.30724207  35.05472123],1.0,1.0,1.0,1.0,60,82683.0,84483.0,87834.0,89634.0
person79,[-85.29330979  35.02538432],[-85.31475343  35.0409193 ],1.0,1.0,1.0,1.0,60,52293.0,54093.0,57007.0,58807.0
person80,[-85.29379113  34.99988462],[-85.3107152   35.04707877],1.0,1.0,1.0,1.0,60,68948.0,70748.0,74588.0,76388.0
person81,[-85.28456645  35.00017815],[-85.30997458  35.04812309],1.0,1.0,1.0,1.0,60,79119.0,80919.0,84475.0,86275.0
person82,[-85.29305615  35.00216115],[-85.31608269  35.03943003],1.0,1.0,1.0,1.0,60,73700.0,75500.0,77339.0,79139.0
person83,[-85.28704327  34.98620055],[-85.3016339   35.04728565],1.0,1.0,1.0,1.0,60,74829.0,76629.0,78677.0,80477.0
person84,[-85.2841377   35.00275491],[-85.31491571  35.03662719],1.0,1.0,1.0,1.0,60,83114.0,84914.0,87830.0,89630.0
person85,[-85.279792    35.02179279],[-85.3069352   35.05097226],1.0,1.0,1.0,1.0,60,83351.0,85151.0,87074.0,88874.0
person86,[-85.29456316  35.0078735 ],[-85.30304085  35.0485844 ],1.0,1.0,1.0,1.0,60,79649.0,81449.0,84651.0,86451.0
person87,[-85.28681548  35.01300406],[-85.30583774  35.04505644],1.0,1.0,1.0,1.0,60,83584.0,85384.0,87633.0,89433.0
person88,[-85.28523339  35.00585204],[-85.31161063  35.03889305],1.0,1.0,1.0,1.0,60,75177.0,76977.0,79272.0,81072.0
person89,[-85.28523339  35.00585204],[-85.31161063  35.03889305],0.0,1.0,1.0,1.0,60,52325.0,54125.0,56757.0,58557.0
person90,[-85.28551742  35.01201487],[-85.30987799  35.05056612],1.0,1.0,1.0,1.0,60,74941.0,76741.0,79493.0,81293.0
person91,[-85.29092439  35.01125822],[-85.30734927  35.05487132],1.0,1.0,1.0,1.0,60,65506.0,67306.0,71475.0,73275.0
person92,[-85.29075084  35.01311869],[-85.30890597  35.04239698],1.0,1.0,1.0,1.0,60,40088.0,41888.0,44023.0,45823.0
person93,[-85.29082881  35.01783547],[-85.31097917  35.04476684],1.0,1.0,1.0,1.0,60,61521.0,63321.0,65153.0,66953.0
person94,[-85.29014638  35.00425072],[-85.30882724  35.03916559],1.0,1.0,1.0,1.0,60,72483.0,74283.0,78797.0,80597.0
person95,[-85.27663968  34.98949812],[-85.31483653  35.04868839],1.0,1.0,1.0,1.0,60,64940.0,66740.0,69175.0,70975.0
person96,[-85.2969438   34.99539189],[-85.31235196  35.03904554],1.0,1.0,1.0,1.0,60,49157.0,50957.0,55573.0,57373.0
person97,[-85.2900509   35.01113485],[-85.31727269  35.04703852],1.0,1.0,1.0,1.0,60,60197.0,61997.0,64195.0,65995.0
person98,[-85.28645548  35.01214537],[-85.30403071  35.04185213],1.0,1.0,1.0,1.0,60,61782.0,63582.0,66012.0,67812.0
person99,[-85.29165168  35.01430706],[-85.30500649  35.0428742 ],1.0,1.0,1.0,1.0,60,32317.0,34117.0,36767.0,38567.0
person100,[-85.28804514  35.01438353],[-85.30945297  35.04165566],1.0,1.0,1.0,1.0,60,69617.0,71417.0,76272.0,78072.0
person101,[-85.28757552  35.00678667],[-85.30280519  35.0415743 ],1.0,1.0,1.0,1.0,60,36822.0,38622.0,42787.0,44587.0
person102,[-85.28179676  34.99728981],[-85.31046406  35.04431533],1.0,1.0,1.0,1.0,60,31260.0,33060.0,34884.0,36684.0
person103,[-85.28179676  34.99728981],[-85.31046406  35.04431533],0.0,1.0,1.0,1.0,60,38105.0,39905.0,45295.0,47095.0
person104,[-85.28457711  35.00573937],[-85.30919707  35.0431288 ],1.0,1.0,1.0,1.0,60,84007.0,85807.0,88061.0,89861.0
person105,[-85.28457711  35.00573937],[-85.30919707  35.0431288 ],0.0,1.0,1.0,1.0,60,82252.0,84052.0,86701.0,88501.0
person106,[-85.28262355  35.01213962],[-85.30490266  35.04380827],1.0,1.0,1.0,1.0,60,63253.0,65053.0,69192.0,70992.0
person107,[-85.28857213  34.99448473],[-85.30847719  35.04568399],1.0,1.0,1.0,1.0,60,79157.0,80957.0,83932.0,85732.0
person108,[-85.29058992  35.00152906],[-85.3045591   35.04236528],1.0,1.0,1.0,1.0,60,74117.0,75917.0,78410.0,80210.0
person109,[-85.28409382  35.01372819],[-85.30614573  35.05077338],1.0,1.0,1.0,1.0,60,80565.0,82365.0,86769.0,88569.0
