tag,orig_loc,dest_loc,take_car,take_transit,take_ondemand,take_walk,mass,leave_time_start,leave_time_end,arrival_time_start,arrival_time_end
person0,[-85.29076652  34.99647195],[-85.31017151  35.04991855],1.0,1.0,1.0,1.0,60,27994.0,29794.0,32055.0,33855.0
person1,[-85.29753929  35.00582883],[-85.30733579  35.0477705 ],1.0,1.0,1.0,1.0,60,28517.0,30317.0,33828.0,35628.0
person2,[-85.30510094  34.98841775],[-85.31393227  35.04616281],1.0,1.0,1.0,1.0,60,29273.0,31073.0,34072.0,35872.0
person3,[-85.28128424  35.00452085],[-85.30395979  35.0517272 ],1.0,1.0,1.0,1.0,60,30195.0,31995.0,33864.0,35664.0
person4,[-85.28128424  35.00452085],[-85.30395979  35.0517272 ],0.0,1.0,1.0,1.0,60,24485.0,26285.0,30151.0,31951.0
person5,[-85.2783143   35.00653419],[-85.30481978  35.04116439],1.0,1.0,1.0,1.0,60,24755.0,26555.0,31446.0,33246.0
person6,[-85.2783143   35.00653419],[-85.30481978  35.04116439],0.0,1.0,1.0,1.0,60,24672.0,26472.0,29143.0,30943.0
person7,[-85.28364744  35.01153298],[-85.30531265  35.04194901],1.0,1.0,1.0,1.0,60,27566.0,29366.0,31912.0,33712.0
person8,[-85.29517807  34.99236053],[-85.30550012  35.04847506],1.0,1.0,1.0,1.0,60,24026.0,25826.0,30738.0,32538.0
person9,[-85.28077195  34.99326313],[-85.30952606  35.04220863],1.0,1.0,1.0,1.0,60,23983.0,25783.0,30347.0,32147.0
person10,[-85.2882803  35.0133687],[-85.31131195  35.04367444],1.0,1.0,1.0,1.0,60,25625.0,27425.0,31929.0,33729.0
person11,[-85.29676115  35.01751165],[-85.30897506  35.0530567 ],1.0,1.0,1.0,1.0,60,25652.0,27452.0,29305.0,31105.0
person12,[-85.28793473  35.0005013 ],[-85.29883692  35.05207634],1.0,1.0,1.0,1.0,60,28628.0,30428.0,33273.0,35073.0
person13,[-85.28808812  34.98808697],[-85.31339804  35.04547062],1.0,1.0,1.0,1.0,60,26307.0,28107.0,30014.0,31814.0
person14,[-85.28143606  34.99877588],[-85.30160499  35.03893148],1.0,1.0,1.0,1.0,60,25921.0,27721.0,30734.0,32534.0
person15,[-85.28143606  34.99877588],[-85.30160499  35.03893148],0.0,1.0,1.0,1.0,60,26951.0,28751.0,33162.0,34962.0
person16,[-85.28027623  34.99329566],[-85.30260221  35.04412616],1.0,1.0,1.0,1.0,60,28044.0,29844.0,32070.0,33870.0
person17,[-85.2774823   35.00987686],[-85.30078435  35.0391088 ],1.0,1.0,1.0,1.0,60,27175.0,28975.0,32570.0,34370.0
person18,[-85.28756426  34.99241934],[-85.30678313  35.04477201],1.0,1.0,1.0,1.0,60,25074.0,26874.0,29423.0,31223.0
person19,[-85.28717364  35.01087033],[-85.3065602   35.04408103],1.0,1.0,1.0,1.0,60,24767.0,26567.0,30473.0,32273.0
person20,[-85.28522439  35.02893552],[-85.31956716  35.04364482],1.0,1.0,1.0,1.0,60,24416.0,26216.0,30694.0,32494.0
person21,[-85.28522439  35.02893552],[-85.31956716  35.04364482],0.0,1.0,1.0,1.0,60,21971.0,23771.0,27291.0,29091.0
person22,[-85.28620474  35.00749891],[-85.31275468  35.04115018],1.0,1.0,1.0,1.0,60,25157.0,26957.0,31210.0,33010.0
person23,[-85.28620474  35.00749891],[-85.31275468  35.04115018],0.0,1.0,1.0,1.0,60,28638.0,30438.0,33416.0,35216.0
person24,[-85.28847466  35.00864688],[-85.30518989  35.05431174],1.0,1.0,1.0,1.0,60,28854.0,30654.0,33636.0,35436.0
person25,[-85.29263781  35.0064043 ],[-85.30115418  35.04936728],1.0,1.0,1.0,1.0,60,30202.0,32002.0,33933.0,35733.0
person26,[-85.29044059  34.9941553 ],[-85.30809589  35.05538048],1.0,1.0,1.0,1.0,60,30231.0,32031.0,34122.0,35922.0
person27,[-85.28872009  35.00737601],[-85.31680849  35.04994056],1.0,1.0,1.0,1.0,60,27995.0,29795.0,33881.0,35681.0
person28,[-85.30121247  34.99885986],[-85.31186916  35.04562177],1.0,1.0,1.0,1.0,60,27623.0,29423.0,33662.0,35462.0
person29,[-85.28236461  35.01425624],[-85.30332803  35.04918185],1.0,1.0,1.0,1.0,60,28861.0,30661.0,33989.0,35789.0
person30,[-85.29023752  35.01863896],[-85.31219235  35.0407244 ],1.0,1.0,1.0,1.0,60,25621.0,27421.0,32453.0,34253.0
person31,[-85.27593441  34.99969946],[-85.3072572   35.04504963],1.0,1.0,1.0,1.0,60,25452.0,27252.0,30009.0,31809.0
person32,[-85.27593441  34.99969946],[-85.3072572   35.04504963],0.0,1.0,1.0,1.0,60,27501.0,29301.0,33713.0,35513.0
person33,[-85.28864322  34.99905891],[-85.3146705  35.050265 ],1.0,1.0,1.0,1.0,60,29314.0,31114.0,33087.0,34887.0
person34,[-85.28873575  35.01092244],[-85.31070607  35.04242572],1.0,1.0,1.0,1.0,60,22096.0,23896.0,28065.0,29865.0
person35,[-85.28941448  35.01582394],[-85.31006808  35.04406734],1.0,1.0,1.0,1.0,60,28933.0,30733.0,33526.0,35326.0
person36,[-85.28469529  35.00688245],[-85.30385463  35.04128184],1.0,1.0,1.0,1.0,60,26754.0,28554.0,32358.0,34158.0
person37,[-85.28469529  35.00688245],[-85.30385463  35.04128184],0.0,1.0,1.0,1.0,60,27733.0,29533.0,32820.0,34620.0
person38,[-85.28831623  35.00221631],[-85.31312738  35.04774106],1.0,1.0,1.0,1.0,60,25530.0,27330.0,30286.0,32086.0
person39,[-85.28964868  35.00592884],[-85.30071437  35.04763753],1.0,1.0,1.0,1.0,60,28204.0,30004.0,33557.0,35357.0
person40,[-85.29084559  35.01816153],[-85.30706898  35.0489935 ],1.0,1.0,1.0,1.0,60,26302.0,28102.0,31432.0,33232.0
