tag,take_car,take_transit,take_ondemand,take_walk,orig_loc,dest_loc,home_node,work_node,pop,seg_types
person0,1.0,1.0,1.0,1.0,"[-85.28493278, 35.00507125]","[-85.30226582, 35.04166415]",202636420.0,202638672.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person1,0.0,1.0,1.0,1.0,"[-85.28493278, 35.00507125]","[-85.30226582, 35.04166415]",202636420.0,202638672.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person2,1.0,1.0,1.0,1.0,"[-85.28680428, 35.00824147]","[-85.30341699, 35.04722944]",202659723.0,202633677.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person3,1.0,1.0,1.0,1.0,"[-85.28935666, 35.0092145]","[-85.31452421, 35.04909472]",202734558.0,450325864.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person4,1.0,1.0,1.0,1.0,"[-85.29179444, 35.00208654]","[-85.30843275, 35.03550039]",202642058.0,202613402.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person5,1.0,1.0,1.0,1.0,"[-85.28132468, 35.00747389]","[-85.30712005, 35.04818878]",202700868.0,202629693.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person6,0.0,1.0,1.0,1.0,"[-85.28132468, 35.00747389]","[-85.30712005, 35.04818878]",202700868.0,202629693.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person7,1.0,1.0,1.0,1.0,"[-85.28670654, 35.00374547]","[-85.31338885, 35.0508345]",202639260.0,202605848.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person8,1.0,1.0,1.0,1.0,"[-85.28760107, 35.00684832]","[-85.30714114, 35.04328504]",202593910.0,202641420.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person9,1.0,1.0,1.0,1.0,"[-85.29236468, 35.00535678]","[-85.3098893, 35.03486165]",202636462.0,202644801.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person10,1.0,1.0,1.0,1.0,"[-85.27784992, 35.00976717]","[-85.31175245, 35.04338031]",202605234.0,202605878.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person11,1.0,1.0,1.0,1.0,"[-85.28727273, 35.01037011]","[-85.30831545, 35.03999938]",202659721.0,202596801.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person12,1.0,1.0,1.0,1.0,"[-85.28370348, 34.99526438]","[-85.31748727, 35.05181604]",202663265.0,1518182694.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person13,0.0,1.0,1.0,1.0,"[-85.28370348, 34.99526438]","[-85.31748727, 35.05181604]",202663265.0,1518182694.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person14,1.0,1.0,1.0,1.0,"[-85.28842224, 35.01953525]","[-85.311231, 35.04391713]",445928790.0,202605878.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person15,1.0,1.0,1.0,1.0,"[-85.29545004, 35.02127632]","[-85.2999094, 35.04347417]",202731366.0,574931068.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person16,1.0,1.0,1.0,1.0,"[-85.28206961, 35.00314002]","[-85.30268592, 35.04061633]",202605532.0,7618250431.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person17,0.0,1.0,1.0,1.0,"[-85.28206961, 35.00314002]","[-85.30268592, 35.04061633]",202605532.0,7618250431.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person18,1.0,1.0,1.0,1.0,"[-85.28648793, 35.00846213]","[-85.30407976, 35.04742767]",202726219.0,202633680.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person19,1.0,1.0,1.0,1.0,"[-85.28344483, 34.99648804]","[-85.30085849, 35.04273338]",202605279.0,202695954.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person20,0.0,1.0,1.0,1.0,"[-85.28344483, 34.99648804]","[-85.30085849, 35.04273338]",202605279.0,202695954.0,0.8921933085501859,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person21,1.0,1.0,1.0,1.0,"[-85.28734264, 35.00438381]","[-85.3045762, 35.04356391]",202636417.0,202596950.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person22,1.0,1.0,1.0,1.0,"[-85.29008291, 35.01531756]","[-85.31872158, 35.04692857]",202625261.0,946673291.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person23,1.0,1.0,1.0,1.0,"[-85.2885371, 35.00915791]","[-85.30899972, 35.04773699]",202734558.0,202596782.0,60.0,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
person24,1.0,1.0,1.0,1.0,"[-85.28326436, 35.00313915]","[-85.30854593, 35.04419174]",202636428.0,202621183.0,0.2,"[('ondemand',), ('walk', 'gtfs', 'walk'), ('walk', 'gtfs', 'ondemand'), ('ondemand', 'gtfs', 'walk'), ('ondemand', 'gtfs', 'ondemand')]"
